04:bd:88:76:f5:82 -83 w | -83 -83
04:bd:88:76:f5:81 -78 w | -78 -78
04:bd:88:77:08:22 -87 w | -87 -87
04:bd:88:76:f5:92 -88 w | -88 -88
04:bd:88:76:f5:80 -78 w | -78 -78
04:bd:88:76:f5:91 -87 w | -87 -87

1.00 5.00 18 2020-11-19-01:08:14
04:bd:88:77:08:20 -82 w | -82
04:bd:88:77:08:21 -81 w | -81
62:45:b6:ce:ac:21 -69 w | -69
04:bd:88:77:07:20 -80 w | -80
84:d4:7e:4a:d1:e2 -85 w | -85
04:bd:88:76:f6:e2 -86 w | -86
04:bd:88:76:f9:e0 -62 w | -62
04:bd:88:76:f9:f1 -66 w | -66
04:bd:88:76:f9:f0 -66 w | -66
04:bd:88:76:f9:e2 -66 w | -66
04:bd:88:76:f9:e1 -62 w | -62
04:bd:88:76:f9:f2 -66 w | -66
04:bd:88:76:f4:22 -87 w | -87
04:bd:88:76:f4:20 -88 w | -88
62:45:b7:78:a1:82 -55 w | -55
04:bd:88:77:07:22 -76 w | -76
04:bd:88:77:07:21 -76 w | -76
04:bd:88:77:08:22 -83 w | -83

1.00 6.00 18 2020-11-19-01:08:25
04:bd:88:77:08:20 -82 w | -82 -82
04:bd:88:77:08:21 -81 w | -81 -81
62:45:b6:ce:ac:21 -69 w | -69 -69
04:bd:88:77:07:20 -80 w | -80 -80
84:d4:7e:4a:d1:e2 -85 w | -85 -85
04:bd:88:76:f6:e2 -86 w | -86 -86
04:bd:88:76:f9:e0 -62 w | -62 -62
04:bd:88:76:f9:f1 -66 w | -66 -66
04:bd:88:76:f9:f0 -66 w | -66 -66
04:bd:88:76:f9:e2 -66 w | -66 -66
04:bd:88:76:f9:e1 -62 w | -62 -62
04:bd:88:76:f9:f2 -66 w | -66 -66
04:bd:88:76:f4:22 -87 w | -87 -87
04:bd:88:76:f4:20 -88 w | -88 -88
62:45:b7:78:a1:82 -55 w | -55 -55
04:bd:88:77:07:22 -76 w | -76 -76
04:bd:88:77:07:21 -76 w | -76 -76
04:bd:88:77:08:22 -83 w | -83 -83

2.00 6.00 18 2020-11-19-01:09:14
04:bd:88:77:08:20 -82 w | -82 -82
04:bd:88:77:08:21 -81 w | -81 -81
62:45:b6:ce:ac:21 -69 w | -69 -69
04:bd:88:77:07:20 -80 w | -80 -80
84:d4:7e:4a:d1:e2 -85 w | -85 -85
04:bd:88:76:f6:e2 -86 w | -86 -86
04:bd:88:76:f9:e0 -62 w | -62 -62
04:bd:88:76:f9:f1 -66 w | -66 -66
04:bd:88:76:f9:f0 -66 w | -66 -66
04:bd:88:76:f9:e2 -66 w | -66 -66
04:bd:88:76:f9:e1 -62 w | -62 -62
04:bd:88:76:f9:f2 -66 w | -66 -66
04:bd:88:76:f4:22 -87 w | -87 -87
04:bd:88:76:f4:20 -88 w | -88 -88
62:45:b7:78:a1:82 -55 w | -55 -55
04:bd:88:77:07:22 -76 w | -76 -76
04:bd:88:77:07:21 -76 w | -76 -76
04:bd:88:77:08:22 -83 w | -83 -83

2.00 5.00 18 2020-11-19-01:09:28
04:bd:88:77:08:20 -82 w | -82 -82 -82 -82
04:bd:88:77:08:21 -81 w | -81 -81 -81 -81
62:45:b6:ce:ac:21 -69 w | -69 -69 -69 -69
04:bd:88:77:07:20 -80 w | -80 -80 -80 -80
84:d4:7e:4a:d1:e2 -85 w | -85 -85 -85 -85
04:bd:88:76:f6:e2 -86 w | -86 -86 -86 -86
04:bd:88:76:f9:e0 -62 w | -62 -62 -62 -62
04:bd:88:76:f9:f1 -66 w | -66 -66 -66 -66
04:bd:88:76:f9:f0 -66 w | -66 -66 -66 -66
04:bd:88:76:f9:e2 -66 w | -66 -66 -66 -66
04:bd:88:76:f9:e1 -62 w | -62 -62 -62 -62
04:bd:88:76:f9:f2 -66 w | -66 -66 -66 -66
04:bd:88:76:f4:22 -87 w | -87 -87 -87 -87
04:bd:88:76:f4:20 -88 w | -88 -88 -88 -88
62:45:b7:78:a1:82 -55 w | -55 -55 -55 -55
04:bd:88:77:07:22 -76 w | -76 -76 -76 -76
