62:45:b7:2c:5b:a5 -90 w | -90 -90 -90
04:bd:88:76:f5:82 -82 w | -82 -82 -82
04:bd:88:76:f5:81 -80 w | -80 -80 -80
04:bd:88:76:f5:80 -80 w | -80 -80 -80

5.00 2.00 24 2020-11-18-20:43:34
04:bd:88:77:08:21 -87 w | -87 -87
62:45:b6:ce:ac:21 -81 w | -81 -81
04:bd:88:76:f4:c2 -88 w | -88 -88
70:8b:cd:5e:4f:f0 -90 w | -90 -90
04:bd:88:76:f9:f1 -54 w | -54 -54
04:bd:88:76:f9:e0 -55 w | -55 -55
04:bd:88:76:f9:f0 -54 w | -54 -54
04:bd:88:76:f9:e2 -57 w | -57 -57
d8:eb:97:ed:c8:36 -88 w | -88 -88
04:bd:88:76:f9:f2 -54 w | -54 -54
04:bd:88:76:f9:e1 -55 w | -55 -55
60:38:e0:bd:e6:29 -89 w | -89 -89
04:bd:88:76:f4:21 -83 w | -83 -83
98:e7:f4:45:9b:4a -83 w | -83 -83
04:bd:88:76:f4:32 -87 w | -87 -87
04:bd:88:76:f4:20 -84 w | -84 -84
04:bd:88:76:f4:31 -88 w | -88 -88
04:bd:88:76:f4:30 -88 w | -88 -88
18:64:72:29:09:c2 -89 w | -89 -89
62:45:b7:78:a1:82 -67 w | -67 -67
04:bd:88:76:f5:82 -76 w | -76 -76
04:bd:88:76:f5:81 -85 w | -85 -85
04:bd:88:77:08:22 -89 w | -89 -89
04:bd:88:76:f5:80 -85 w | -85 -85

4.00 4.00 24 2020-11-18-20:43:56
04:bd:88:77:08:21 -87 w | -87 -87 -87 -87
62:45:b6:ce:ac:21 -81 w | -81 -81 -81 -81
04:bd:88:76:f4:c2 -88 w | -88 -88 -88 -88
70:8b:cd:5e:4f:f0 -90 w | -90 -90 -90 -90
04:bd:88:76:f9:f1 -54 w | -54 -54 -54 -54
04:bd:88:76:f9:e0 -55 w | -55 -55 -55 -55
04:bd:88:76:f9:f0 -54 w | -54 -54 -54 -54
04:bd:88:76:f9:e2 -57 w | -57 -57 -57 -57
d8:eb:97:ed:c8:36 -88 w | -88 -88 -88 -88
04:bd:88:76:f9:f2 -54 w | -54 -54 -54 -54
04:bd:88:76:f9:e1 -55 w | -55 -55 -55 -55
60:38:e0:bd:e6:29 -89 w | -89 -89 -89 -89
04:bd:88:76:f4:21 -83 w | -83 -83 -83 -83
98:e7:f4:45:9b:4a -83 w | -83 -83 -83 -83
04:bd:88:76:f4:32 -87 w | -87 -87 -87 -87
04:bd:88:76:f4:20 -84 w | -84 -84 -84 -84
04:bd:88:76:f4:31 -88 w | -88 -88 -88 -88
04:bd:88:76:f4:30 -88 w | -88 -88 -88 -88
18:64:72:29:09:c2 -89 w | -89 -89 -89 -89
62:45:b7:78:a1:82 -67 w | -67 -67 -67 -67
04:bd:88:76:f5:82 -76 w | -76 -76 -76 -76
04:bd:88:76:f5:81 -85 w | -85 -85 -85 -85
04:bd:88:77:08:22 -89 w | -89 -89 -89 -89
04:bd:88:76:f5:80 -85 w | -85 -85 -85 -85

5.00 4.00 24 2020-11-18-20:44:08
04:bd:88:77:08:21 -87 w | -87 -87 -87
62:45:b6:ce:ac:21 -81 w | -81 -81 -81
04:bd:88:76:f4:c2 -88 w | -88 -88 -88
70:8b:cd:5e:4f:f0 -90 w | -90 -90 -90
04:bd:88:76:f9:f1 -54 w | -54 -54 -54
04:bd:88:76:f9:e0 -55 w | -55 -55 -55
04:bd:88:76:f9:f0 -54 w | -54 -54 -54
04:bd:88:76:f9:e2 -57 w | -57 -57 -57
d8:eb:97:ed:c8:36 -88 w | -88 -88 -88
04:bd:88:76:f9:f2 -54 w | -54 -54 -54
04:bd:88:76:f9:e1 -55 w | -55 -55 -55
60:38:e0:bd:e6:29 -89 w | -89 -89 -89
04:bd:88:76:f4:21 -83 w | -83 -83 -83
98:e7:f4:45:9b:4a -83 w | -83 -83 -83
04:bd:88:76:f4:32 -87 w | -87 -87 -87
04:bd:88:76:f4:20 -84 w | -84 -84 -84
04:bd:88:76:f4:31 -88 w | -88 -88 -88
04:bd:88:76:f4:30 -88 w | -88 -88 -88
18:64:72:29:09:c2 -89 w | -89 -89 -89
62:45:b7:78:a1:82 -67 w | -67 -67 -67
04:bd:88:76:f5:82 -76 w | -76 -76 -76
04:bd:88:76:f5:81 -85 w | -85 -85 -85
04:bd:88:77:08:22 -89 w | -89 -89 -89
04:bd:88:76:f5:80 -85 w | -85 -85 -85

2.00 6.00 24 2020-11-18-20:44:26
04:bd:88:77:08:21 -87 w | -87 -87 -87 -87
62:45:b6:ce:ac:21 -81 w | -81 -81 -81 -81
04:bd:88:76:f4:c2 -88 w | -88 -88 -88 -88
70:8b:cd:5e:4f:f0 -90 w | -90 -90 -90 -90
04:bd:88:76:f9:f1 -54 w | -54 -54 -54 -54
04:bd:88:76:f9:e0 -55 w | -55 -55 -55 -55
04:bd:88:76:f9:f0 -54 w | -54 -54 -54 -54
04:bd:88:76:f9:e2 -57 w | -57 -57 -57 -57
d8:eb:97:ed:c8:36 -88 w | -88 -88 -88 -88
04:bd:88:76:f9:f2 -54 w | -54 -54 -54 -54
04:bd:88:76:f9:e1 -55 w | -55 -55 -55 -55
60:38:e0:bd:e6:29 -89 w | -89 -89 -89 -89
04:bd:88:76:f4:21 -83 w | -83 -83 -83 -83
98:e7:f4:45:9b:4a -83 w | -83 -83 -83 -83
04:bd:88:76:f4:32 -87 w | -87 -87 -87 -87
04:bd:88:76:f4:20 -84 w | -84 -84 -84 -84
04:bd:88:76:f4:31 -88 w | -88 -88 -88 -88
04:bd:88:76:f4:30 -88 w | -88 -88 -88 -88
18:64:72:29:09:c2 -89 w | -89 -89 -89 -89
62:45:b7:78:a1:82 -67 w | -67 -67 -67 -67
04:bd:88:76:f5:82 -76 w | -76 -76 -76 -76
04:bd:88:76:f5:81 -85 w | -85 -85 -85 -85
04:bd:88:77:08:22 -89 w | -89 -89 -89 -89
04:bd:88:76:f5:80 -85 w | -85 -85 -85 -85

2.00 7.00 24 2020-11-18-20:44:35
04:bd:88:77:08:21 -87 w | -87 -87 -87
62:45:b6:ce:ac:21 -81 w | -81 -81 -81
04:bd:88:76:f4:c2 -88 w | -88 -88 -88
70:8b:cd:5e:4f:f0 -90 w | -90 -90 -90
04:bd:88:76:f9:f1 -54 w | -54 -54 -54
04:bd:88:76:f9:e0 -55 w | -55 -55 -55
04:bd:88:76:f9:f0 -54 w | -54 -54 -54
04:bd:88:76:f9:e2 -57 w | -57 -57 -57
d8:eb:97:ed:c8:36 -88 w | -88 -88 -88
04:bd:88:76:f9:f2 -54 w | -54 -54 -54
04:bd:88:76:f9:e1 -55 w | -55 -55 -55
60:38:e0:bd:e6:29 -89 w | -89 -89 -89
04:bd:88:76:f4:21 -83 w | -83 -83 -83
98:e7:f4:45:9b:4a -83 w | -83 -83 -83
04:bd:88:76:f4:32 -87 w | -87 -87 -87
04:bd:88:76:f4:20 -84 w | -84 -84 -84
04:bd:88:76:f4:31 -88 w | -88 -88 -88
04:bd:88:76:f4:30 -88 w | -88 -88 -88
18:64:72:29:09:c2 -89 w | -89 -89 -89
62:45:b7:78:a1:82 -67 w | -67 -67 -67
04:bd:88:76:f5:82 -76 w | -76 -76 -76
04:bd:88:76:f5:81 -85 w | -85 -85 -85
04:bd:88:77:08:22 -89 w | -89 -89 -89
04:bd:88:76:f5:80 -85 w | -85 -85 -85

1.00 7.00 24 2020-11-18-20:44:46
04:bd:88:77:08:21 -87 w | -87 -87 -87 -87 -87
62:45:b6:ce:ac:21 -81 w | -81 -81 -81 -81 -81
04:bd:88:76:f4:c2 -88 w | -88 -88 -88 -88 -88
70:8b:cd:5e:4f:f0 -90 w | -90 -90 -90 -90 -90
04:bd:88:76:f9:f1 -54 w | -54 -54 -54 -54 -54
04:bd:88:76:f9:e0 -55 w | -55 -55 -55 -55 -55
04:bd:88:76:f9:f0 -54 w | -54 -54 -54 -54 -54
04:bd:88:76:f9:e2 -57 w | -57 -57 -57 -57 -57
d8:eb:97:ed:c8:36 -88 w | -88 -88 -88 -88 -88
04:bd:88:76:f9:f2 -54 w | -54 -54 -54 -54 -54
04:bd:88:76:f9:e1 -55 w | -55 -55 -55 -55 -55
60:38:e0:bd:e6:29 -89 w | -89 -89 -89 -89 -89
04:bd:88:76:f4:21 -83 w | -83 -83 -83 -83 -83
98:e7:f4:45:9b:4a -83 w | -83 -83 -83 -83 -83
04:bd:88:76:f4:32 -87 w | -87 -87 -87 -87 -87
04:bd:88:76:f4:20 -84 w | -84 -84 -84 -84 -84
04:bd:88:76:f4:31 -88 w | -88 -88 -88 -88 -88
04:bd:88:76:f4:30 -88 w | -88 -88 -88 -88 -88
18:64:72:29:09:c2 -89 w | -89 -89 -89 -89 -89
62:45:b7:78:a1:82 -67 w | -67 -67 -67 -67 -67
04:bd:88:76:f5:82 -76 w | -76 -76 -76 -76 -76
04:bd:88:76:f5:81 -85 w | -85 -85 -85 -85 -85
04:bd:88:77:08:22 -89 w | -89 -89 -89 -89 -89
04:bd:88:76:f5:80 -85 w | -85 -85 -85 -85 -85

1.00 6.00 24 2020-11-18-20:44:58
04:bd:88:77:08:21 -87 w | -87 -87 -87
62:45:b6:ce:ac:21 -81 w | -81 -81 -81
04:bd:88:76:f4:c2 -88 w | -88 -88 -88
70:8b:cd:5e:4f:f0 -90 w | -90 -90 -90
04:bd:88:76:f9:f1 -54 w | -54 -54 -54
04:bd:88:76:f9:e0 -55 w | -55 -55 -55
04:bd:88:76:f9:f0 -54 w | -54 -54 -54
04:bd:88:76:f9:e2 -57 w | -57 -57 -57
d8:eb:97:ed:c8:36 -88 w | -88 -88 -88
04:bd:88:76:f9:f2 -54 w | -54 -54 -54
04:bd:88:76:f9:e1 -55 w | -55 -55 -55
60:38:e0:bd:e6:29 -89 w | -89 -89 -89
04:bd:88:76:f4:21 -83 w | -83 -83 -83
98:e7:f4:45:9b:4a -83 w | -83 -83 -83
04:bd:88:76:f4:32 -87 w | -87 -87 -87
04:bd:88:76:f4:20 -84 w | -84 -84 -84
04:bd:88:76:f4:31 -88 w | -88 -88 -88
04:bd:88:76:f4:30 -88 w | -88 -88 -88
18:64:72:29:09:c2 -89 w | -89 -89 -89
62:45:b7:78:a1:82 -67 w | -67 -67 -67
04:bd:88:76:f5:82 -76 w | -76 -76 -76
04:bd:88:76:f5:81 -85 w | -85 -85 -85
04:bd:88:77:08:22 -89 w | -89 -89 -89
04:bd:88:76:f5:80 -85 w | -85 -85 -85

4.00 7.00 24 2020-11-18-20:45:31
04:bd:88:77:08:21 -87 w | -87
62:45:b6:ce:ac:21 -81 w | -81
04:bd:88:76:f4:c2 -88 w | -88
70:8b:cd:5e:4f:f0 -90 w | -90
04:bd:88:76:f9:f1 -54 w | -54
04:bd:88:76:f9:e0 -55 w | -55
04:bd:88:76:f9:f0 -54 w | -54
04:bd:88:76:f9:e2 -57 w | -57
d8:eb:97:ed:c8:36 -88 w | -88
04:bd:88:76:f9:f2 -54 w | -54
04:bd:88:76:f9:e1 -55 w | -55
60:38:e0:bd:e6:29 -89 w | -89
04:bd:88:76:f4:21 -83 w | -83
98:e7:f4:45:9b:4a -83 w | -83
04:bd:88:76:f4:32 -87 w | -87
04:bd:88:76:f4:20 -84 w | -84
04:bd:88:76:f4:31 -88 w | -88
04:bd:88:76:f4:30 -88 w | -88
18:64:72:29:09:c2 -89 w | -89
62:45:b7:78:a1:82 -67 w | -67
04:bd:88:76:f5:82 -76 w | -76
04:bd:88:76:f5:81 -85 w | -85
04:bd:88:77:08:22 -89 w | -89
04:bd:88:76:f5:80 -85 w | -85

4.00 6.00 15 2020-11-18-20:45:46
04:bd:88:77:07:61 -88 w | -88 -88 -88
62:45:b6:ce:ac:21 -67 w | -67 -67 -67
04:bd:88:76:f4:c2 -89 w | -89 -89 -89
fa:8f:ca:61:cc:1e -85 w | -85 -85 -85
12:d0:7a:c5:05:b5 -81 w | -81 -81 -81
04:bd:88:76:f9:e0 -57 w | -57 -57 -57
04:bd:88:76:f9:f1 -68 w | -68 -68 -68
04:bd:88:76:f9:f0 -68 w | -68 -68 -68
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -57 w | -57 -57 -57
04:bd:88:76:f9:f2 -68 w | -68 -68 -68
62:45:b7:78:a1:82 -72 w | -72 -72 -72
22:f5:43:71:f4:a6 -88 w | -88 -88 -88
04:bd:88:77:08:22 -89 w | -89 -89 -89

5.00 7.00 15 2020-11-18-20:46:11
04:bd:88:77:07:61 -88 w | -88 -88 -88
62:45:b6:ce:ac:21 -67 w | -67 -67 -67
04:bd:88:76:f4:c2 -89 w | -89 -89 -89
fa:8f:ca:61:cc:1e -85 w | -85 -85 -85
12:d0:7a:c5:05:b5 -81 w | -81 -81 -81
04:bd:88:76:f9:e0 -57 w | -57 -57 -57
04:bd:88:76:f9:f1 -68 w | -68 -68 -68
04:bd:88:76:f9:f0 -68 w | -68 -68 -68
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -57 w | -57 -57 -57
04:bd:88:76:f9:f2 -68 w | -68 -68 -68
62:45:b7:78:a1:82 -72 w | -72 -72 -72
22:f5:43:71:f4:a6 -88 w | -88 -88 -88
04:bd:88:77:08:22 -89 w | -89 -89 -89

