70:8b:cd:5e:4f:f0 -88 w | -88 -88 -88
04:bd:88:76:f9:f1 -46 w | -46 -46 -46
04:bd:88:76:f9:e0 -51 w | -51 -51 -51
04:bd:88:76:f9:f0 -45 w | -45 -45 -45
04:bd:88:76:f9:e2 -49 w | -49 -49 -49
04:bd:88:76:f9:f2 -45 w | -45 -45 -45
04:bd:88:76:f9:e1 -51 w | -51 -51 -51
04:bd:88:76:f4:22 -80 w | -80 -80 -80
04:bd:88:76:f4:21 -76 w | -76 -76 -76
04:bd:88:76:f4:20 -76 w | -76 -76 -76
04:bd:88:76:f4:31 -87 w | -87 -87 -87
18:64:72:29:09:c0 -87 w | -87 -87 -87
18:64:72:29:09:c2 -87 w | -87 -87 -87
18:64:72:29:09:c1 -88 w | -88 -88 -88
04:bd:88:76:f5:82 -79 w | -79 -79 -79
04:bd:88:76:f5:81 -81 w | -81 -81 -81
04:bd:88:76:f5:80 -81 w | -81 -81 -81
04:bd:88:76:f6:92 -88 w | -88 -88 -88

5.00 1.00 19 2020-11-16-00:58:46
62:45:b6:ce:ac:21 -79 w | -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86
18:64:72:29:09:c2 -90 w | -90 -90
04:bd:88:77:07:22 -92 w | -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71
04:bd:88:76:f5:81 -75 w | -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75

5.00 3.00 19 2020-11-16-00:59:11
62:45:b6:ce:ac:21 -79 w | -79 -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86 -86
18:64:72:29:09:c2 -90 w | -90 -90 -90
04:bd:88:77:07:22 -92 w | -92 -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71 -71
04:bd:88:76:f5:81 -75 w | -75 -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75 -75

4.00 5.00 19 2020-11-16-00:59:26
62:45:b6:ce:ac:21 -79 w | -79 -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86 -86
18:64:72:29:09:c2 -90 w | -90 -90 -90
04:bd:88:77:07:22 -92 w | -92 -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71 -71
04:bd:88:76:f5:81 -75 w | -75 -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75 -75

6.00 5.00 19 2020-11-16-00:59:41
62:45:b6:ce:ac:21 -79 w | -79 -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86 -86
18:64:72:29:09:c2 -90 w | -90 -90 -90
04:bd:88:77:07:22 -92 w | -92 -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71 -71
04:bd:88:76:f5:81 -75 w | -75 -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75 -75

6.00 5.00 19 2020-11-16-01:00:00
62:45:b6:ce:ac:21 -79 w | -79 -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86 -86
18:64:72:29:09:c2 -90 w | -90 -90 -90
04:bd:88:77:07:22 -92 w | -92 -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71 -71
04:bd:88:76:f5:81 -75 w | -75 -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75 -75

6.00 4.00 19 2020-11-16-01:00:09
62:45:b6:ce:ac:21 -79 w | -79 -79 -79 -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53 -53 -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57 -57 -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57 -57 -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89 -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56 -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53 -53 -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57 -57 -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69 -69 -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71 -71 -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85 -85 -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71 -71 -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85 -85 -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86 -86 -86 -86
18:64:72:29:09:c2 -90 w | -90 -90 -90 -90 -90
04:bd:88:77:07:22 -92 w | -92 -92 -92 -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71 -71 -71 -71
